,CustomerId,Cluster
1030,500410665,3
1031,500410888,0
1032,500411073,0
1033,500411236,0
1034,500411311,3
1035,500411436,0
1036,500411573,3
1037,500411687,3
1038,500411689,0
1039,500411797,0
1040,500411865,3
1041,500412037,3
1042,500412129,2
1043,500412410,2
1044,500412669,2
1045,500412671,2
1046,500413147,3
1047,500413264,0
1048,500413393,2
1049,500413410,3
1050,500414039,1
1051,500414203,0
1052,500414323,0
1053,500415649,3
1054,500415702,0
1055,500415904,3
1056,500416139,0
1057,500416965,0
1058,500417236,2
1059,500417422,2
1060,500417619,1
1061,500417962,2
1062,500417987,2
1063,500418396,1
1064,500418452,1
1065,500418611,1
1066,500418871,2
1067,500418891,0
1068,500420690,2
1069,500420983,2
1070,500421024,2
1071,500421357,3
1072,500421581,3
1073,500421952,0
1074,500422058,0
1075,500422474,2
1076,500422540,0
1077,500422684,3
1078,500423123,0
1079,500423341,0
1080,500423988,0
1081,500424196,1
1082,500424251,2
1083,500424558,0
1084,500424906,2
1085,500425086,2
1086,500425231,2
1087,500425440,3
1088,500425489,2
1089,500425662,0
1090,500426020,0
1091,500426480,1
1092,500427105,1
1093,500427271,1
1094,500427307,0
1095,500427713,0
1096,500428096,3
1097,500428282,0
1098,500428552,3
1099,500428680,0
1100,500428681,2
1101,500428760,0
1102,500429814,0
1103,500429998,2
1104,500430120,2
1105,500430793,0
1106,500431136,3
1107,500431873,3
1108,500439547,2
1109,500440905,0
1110,500441936,3
1111,500462524,3
1112,500484900,0
1113,500484995,2
1114,500485859,3
1115,500485967,3
1116,500486894,3
1117,500487257,2
1118,500488545,3
1119,500488633,0
1120,500488735,0
1121,500489226,3
1122,500499728,2
1123,500500056,3
1124,500501373,3
1125,500501824,0
1126,500502514,0
1127,500502931,3
1128,500503189,3
1129,500503983,0
1130,500504590,2
1131,500504713,0
1132,500505260,3
1133,500505850,3
1134,500506967,0
1135,500506968,0
1136,500507389,0
1137,500509918,3
1138,500510076,0
1139,500510097,1
1140,500510364,0
1141,500510580,0
1142,500510684,0
1143,500512111,3
1144,500512142,2
1145,500512694,2
1146,500513051,3
1147,500513088,0
1148,500515746,2
1149,500516731,3
1150,500517459,3
1151,500518695,3
1152,500519380,0
1153,500519516,2
1154,500520062,0
1155,500520501,0
1156,500521445,0
1157,500523446,0
1158,500525144,0
1159,500525771,3
1160,500527315,0
1161,500527358,3
1162,500528091,0
1163,500530279,0
1164,500532523,0
1165,500533246,3
1166,500534182,0
1167,500536555,1
1168,500538016,3
1169,500538035,3
1170,500538597,0
